analysis,sample_size,elite_count,semi_elite_count,sample_id,sample_seed,perturbation_run,noise_seed,noise_amplitude,success,error,rmse
Logistic Regression,120,10,110,5,2031,5,52030,0.5,True,,0.1656942655162141
Multiple Linear Regression,120,10,110,5,2031,5,52030,0.5,True,,0.018910894488590006
Correlation Analysis,120,10,110,5,2031,5,52030,0.5,True,,0.03614569216894828
Variance Analysis,120,10,110,5,2031,5,52030,0.5,True,,0.16541164070582928
Logistic Regression,120,10,110,5,2031,6,52031,0.5,True,,0.05781117324311342
Multiple Linear Regression,120,10,110,5,2031,6,52031,0.5,True,,0.013206779096510109
Correlation Analysis,120,10,110,5,2031,6,52031,0.5,True,,0.03558778375182922
Variance Analysis,120,10,110,5,2031,6,52031,0.5,True,,0.1705423513058796
Logistic Regression,120,10,110,5,2031,7,52032,0.5,True,,0.10551522804364595
Multiple Linear Regression,120,10,110,5,2031,7,52032,0.5,True,,0.02394454956916984
Correlation Analysis,120,10,110,5,2031,7,52032,0.5,True,,0.032977273973142575
Variance Analysis,120,10,110,5,2031,7,52032,0.5,True,,0.11695212065559804
Logistic Regression,120,10,110,5,2031,8,52033,0.5,True,,0.10713175583814538
Multiple Linear Regression,120,10,110,5,2031,8,52033,0.5,True,,0.028742807515570058
Correlation Analysis,120,10,110,5,2031,8,52033,0.5,True,,0.03429930851864056
Variance Analysis,120,10,110,5,2031,8,52033,0.5,True,,0.16259545472710304
Logistic Regression,120,10,110,5,2031,9,52034,0.5,True,,0.08002829191653046
Multiple Linear Regression,120,10,110,5,2031,9,52034,0.5,True,,0.012630287857225425
Correlation Analysis,120,10,110,5,2031,9,52034,0.5,True,,0.03565511918565828
Variance Analysis,120,10,110,5,2031,9,52034,0.5,True,,0.18148488840566354
Logistic Regression,120,10,110,5,2031,10,52035,0.5,True,,0.14076872938935145
Multiple Linear Regression,120,10,110,5,2031,10,52035,0.5,True,,0.031779029419448546
Correlation Analysis,120,10,110,5,2031,10,52035,0.5,True,,0.0393131581844688
Variance Analysis,120,10,110,5,2031,10,52035,0.5,True,,0.21963927658885102
Logistic Regression,120,10,110,6,2032,1,62026,0.5,True,,0.1212699346806821
Multiple Linear Regression,120,10,110,6,2032,1,62026,0.5,True,,0.01646816181855802
Correlation Analysis,120,10,110,6,2032,1,62026,0.5,True,,0.03071124848546028
Variance Analysis,120,10,110,6,2032,1,62026,0.5,True,,0.13076617074192476
Logistic Regression,120,10,110,6,2032,2,62027,0.5,True,,0.15133994535235432
Multiple Linear Regression,120,10,110,6,2032,2,62027,0.5,True,,0.021156280213179102
Correlation Analysis,120,10,110,6,2032,2,62027,0.5,True,,0.03814166139020915
Variance Analysis,120,10,110,6,2032,2,62027,0.5,True,,0.12925045478689387
Logistic Regression,120,10,110,6,2032,3,62028,0.5,True,,0.1536056303488533
Multiple Linear Regression,120,10,110,6,2032,3,62028,0.5,True,,0.029341185209446567
Correlation Analysis,120,10,110,6,2032,3,62028,0.5,True,,0.034447236651815795
