analysis,noise_amplitude,perturbation_run,random_seed,success,error,rmse,relative_error,structure_score,sign_agreement,significance_agreement,top3_overlap,rank_score,edge_jaccard,group_order_agreement,highest_domain_retention,category_agreement,top2_overlap,bottom2_overlap,r_squared_change,regression_sign_agreement,regression_top3_overlap,variance_rank_agreement,regression_rank_agreement
Figure 2,0.1,13,2038,True,,0.057202864672379984,0.055420010881288506,0.32316316607830176,nan,nan,nan,0.29265266431320713,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,13,2038,True,,0.005221162335277319,0.05425744117715507,0.9145457033388067,1.0,nan,0.6666666666666666,0.9915161466885605,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,13,2038,True,,0.01484967750442166,0.014008415879075354,0.996031746031746,nan,nan,nan,0.9880952380952381,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,14,2039,True,,0.011829508347526387,0.1219021661289555,0.9136904761904762,1.0,1.0,0.6666666666666666,0.9880952380952381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,14,2039,True,,0.00220773871575043,0.05031049920054929,0.9047619047619047,1.0,1.0,0.6666666666666666,0.9523809523809523,nan,nan,nan,nan,nan,nan,0.0007358841132319993,nan,nan,nan,nan
Figure 1,0.1,14,2039,True,,0.00798384321888239,0.01347315638583939,0.9384920634920634,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,0.6666666666666666,1.0,0.9642857142857144
Figure 2,0.1,14,2039,True,,0.05809914943359456,0.056288360945638154,0.6075599713007804,nan,nan,nan,0.43023988520312184,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.1,14,2039,True,,0.0042839493858215505,0.04451808177589956,0.9155035577449371,1.0,nan,0.6666666666666666,0.9953475643130816,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,14,2039,True,,0.01455621811706382,0.01373158150738592,0.9861111111111112,nan,nan,nan,0.9583333333333334,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,15,2040,True,,0.015346115414684008,0.15814052923899527,0.9017857142857142,1.0,1.0,0.6666666666666666,0.9404761904761905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,15,2040,True,,0.003029683747834392,0.06904118711417749,0.9077380952380952,1.0,1.0,0.6666666666666666,0.9642857142857144,nan,nan,nan,nan,nan,nan,8.371247045457775e-05,nan,nan,nan,nan
